
"http://maoyan.com/films/1322 飞越疯人院 杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森 "
"http://maoyan.com/films/1262 鬼子来了 姜文,姜宏波,陈强 "
"http://maoyan.com/films/676 蝙蝠侠：黑暗骑士崛起 克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼 "
"http://maoyan.com/films/11473 美丽心灵 罗素·克劳,詹妮弗·康纳利,艾德·哈里斯 "
"http://maoyan.com/films/1332 美国往事 罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文 "
"http://maoyan.com/films/995 少年派的奇幻漂流 苏拉·沙玛,伊尔凡·可汗,塔布 "
"http://maoyan.com/films/6771 夜访吸血鬼 汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特 "
"http://maoyan.com/films/916 哈利·波特与死亡圣器（下） 丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森 "
"http://maoyan.com/films/4883 钢琴家 阿德里安·布洛迪,艾米丽雅·福克斯,米乔·赞布罗斯基 "
"http://maoyan.com/films/965 无敌破坏王 约翰·C·赖利,萨拉·丝沃曼,简·林奇 "
"http://maoyan.com/films/18318 本杰明·巴顿奇事 布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森 "
"http://maoyan.com/films/5430 倩女幽魂 张国荣,王祖贤,午马 "
"http://maoyan.com/films/263 初恋这件小事 马里奥·毛瑞尔,阿查拉那·阿瑞亚卫考,平采娜·乐维瑟派布恩 "
"http://maoyan.com/films/94 新龙门客栈 张曼玉,林青霞,梁家辉 "
"http://maoyan.com/films/12683 魔女宅急便 高山南,佐久间玲,户田惠子 "
"http://maoyan.com/films/6823 大话西游之月光宝盒 周星驰,莫文蔚,吴孟达 "
"http://maoyan.com/films/67214 熔炉 孔刘,郑有美,金智英 "
"http://maoyan.com/films/70976 触不可及 弗朗索瓦·克鲁塞,奥马·希,安乐妮 "
"http://maoyan.com/films/2039 末代皇帝 尊龙,陈冲,彼德·奥图尔 "
"http://maoyan.com/films/784 甜蜜蜜 黎明,张曼玉,曾志伟 "
"http://maoyan.com/films/5570 第六感 布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特 "
"http://maoyan.com/films/68213 萤火之森 内山昂辉,佐仓绫音,Hiroki Gotô "
"http://maoyan.com/films/78312 时空恋旅人 瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊 "
"http://maoyan.com/films/158 大话西游之大圣娶亲 周星驰,朱茵,莫文蔚 "
"http://maoyan.com/films/78538 素媛 李甄,薛景求,严智媛 "
"http://maoyan.com/films/38099 穿条纹睡衣的男孩 阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯 "
"http://maoyan.com/films/23127 窃听风暴 乌尔里希·穆埃,赛巴斯汀‧柯赫,马蒂娜·戈黛特 "
"http://maoyan.com/films/57212 借东西的小人阿莉埃蒂 志田未来,神木隆之介,大竹忍 "
"http://maoyan.com/films/48465 海豚湾 里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯 "
"http://maoyan.com/films/247791 恐怖直播 河正宇,李璟荣,权慧贞 "
"http://maoyan.com/films/249294 7号房的礼物 柳承龙,郑进永,朴信惠 "
"http://maoyan.com/films/25310 忠犬八公物语 仲代达矢,春川真澄,井川比佐志 "
"http://maoyan.com/films/9426 小鞋子 默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi "
"http://maoyan.com/films/246433 辩护人 宋康昊,宋英昌,柳秀荣 "
"http://maoyan.com/films/1383 一一 吴念真,金燕玲,李凯莉 "
"http://maoyan.com/films/7971 完美的世界 凯文·科斯特纳,克林特·伊斯特伍德,T.J.劳瑟 "
"http://maoyan.com/films/168 海洋 雅克·贝汉,姜文,兰斯洛特·贝汉 "
"http://maoyan.com/films/6796 爱·回家 俞承豪,金艺芬,童孝熙 "
"http://maoyan.com/films/14124 黄金三镖客 克林特·伊斯特伍德,李·范·克里夫,伊莱·瓦拉赫 "
"http://maoyan.com/films/67163 我爱你 宋在河,李顺才,尹秀晶 "
